Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
28.2,6.8,24.8,3.5,15.8,52.1,3.0,Bessemer Steel,1.9
114.0,4.5,13.0,2.3,34.7,5.6,1.5,Open Hearth iron,0.27
15.0,7.0,7.6,10.5,23.2,30.9,3.0,Wrought Iron,4.45
2.69,7.48,14.68,3.8,18.61,26.58,1.38,Open Hearth iron,3.67
5.55,3.74,42.77,4.1,2.14,87.82,1.4,Open Hearth iron,3.18
114.0,4.5,13.0,11.12,34.7,5.6,1.5,Wrought Iron,1.31
13.15,7.0,28.8,8.72,4.9,35.8,3.0,Open Hearth iron,5.95
3.3,7.6,37.0,7.7,8.7,70.1,3.0,Bessemer Steel,4.2
137.0,4.7,34.8,11.38,14.9,45.8,3.0,Wrought Iron,8.87
110.0,5.3,32.0,4.0,15.5,53.1,1.5,Bessemer Steel,1.2
57.0,7.3,17.8,3.7,11.7,15.8,3.0,Bessemer Steel,1.3
35.11,6.15,17.15,11.8,14.48,13.79,1.52,Wrought Iron,4.6
6.7,4.6,55.26,3.08,20.88,29.34,1.5,Bessemer Steel,6.73
20.65,7.35,17.94,8.2,11.12,26.15,3.02,Open Hearth iron,2.16
4.87,4.78,51.96,10.58,14.62,21.58,1.5,Bessemer Steel,21.59
24.27,7.25,36.9,8.38,15.64,26.62,3.0,Bessemer Steel,1.73
82.9,4.4,22.2,2.0,12.0,26.5,1.5,Bessemer Steel,2.1
114.0,4.5,13.0,3.21,34.7,5.6,3.0,Wrought Iron,0.34
57.0,7.3,17.8,1.0,11.7,15.8,3.0,Wrought Iron,0.3
28.2,6.8,24.8,11.5,15.8,52.1,3.0,Wrought Iron,4.9
17.8,7.2,25.8,2.24,9.5,36.0,1.5,Bessemer Steel,0.86
17.7,7.24,25.98,1.0,9.58,35.99,2.99,Open Hearth iron,0.52
41.92,6.03,39.11,10.19,8.69,49.56,1.5,Bessemer Steel,6.46
301.43,5.43,19.19,12.28,28.93,25.03,1.5,Wrought Iron,1.32
9.7,6.0,33.0,8.03,2.3,47.1,3.0,Bessemer Steel,8.21
1.66,5.6,43.6,9.1,3.47,9.8,1.5,Bessemer Steel,4.7
431.0,5.9,12.2,12.93,40.6,7.2,3.0,Open Hearth iron,1.22
19.7,4.6,28.4,8.93,3.9,34.2,3.0,Open Hearth iron,2.72
2.63,7.4,14.8,7.7,18.7,26.7,1.5,Wrought Iron,5.6
